raw_value;occurrences;sheets
DAB;252;Valid Records
Interpave;132;Valid Records
Brugflex;28;Valid Records
AC 16 DL 40/60;28;Valid Records
retexen;24;Valid Records
DGD 5B;24;Valid Records
Dicht asfaltbeton;18;Valid Records
nvt;12;Valid Records
opruwen;10;Valid Records
AC22 OL-TL 35/50;8;Valid Records
AC22;8;Valid Records
afgieten;4;Valid Records
Bitumineuze voegen;4;Valid Records
tussenlaag en onderlaag;4;Valid Records
vervangen gehele constructie brugdej;4;Valid Records
AC 22 TL-C;4;Valid Records
AC 16 TL;4;Valid Records
Opruwen;2;Valid Records
132;2;Valid Records
